AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT
Alcoholic Beverage Regulation Administration,2011-05-31 00:00:00+00:00,313.0516666666667
Alcoholic Beverage Regulation Administration,2011-06-30 00:00:00+00:00,529.4084615384616
Alcoholic Beverage Regulation Administration,2011-07-31 00:00:00+00:00,774.3636363636364
Alcoholic Beverage Regulation Administration,2011-08-31 00:00:00+00:00,547.3269230769231
Alcoholic Beverage Regulation Administration,2011-09-30 00:00:00+00:00,659.4846153846154
Alcoholic Beverage Regulation Administration,2011-10-31 00:00:00+00:00,702.9846153846154
Alcoholic Beverage Regulation Administration,2011-11-30 00:00:00+00:00,893.9649999999999
Alcoholic Beverage Regulation Administration,2011-12-31 00:00:00+00:00,641.7099999999999
Alcoholic Beverage Regulation Administration,2012-01-31 00:00:00+00:00,535.5604999999999
Alcoholic Beverage Regulation Administration,2012-02-29 00:00:00+00:00,700.0685714285715
Alcoholic Beverage Regulation Administration,2012-03-31 00:00:00+00:00,589.7841666666667
Alcoholic Beverage Regulation Administration,2012-04-30 00:00:00+00:00,340.7716666666667
Alcoholic Beverage Regulation Administration,2012-05-31 00:00:00+00:00,423.3276923076923
Alcoholic Beverage Regulation Administration,2012-06-30 00:00:00+00:00,390.474
Alcoholic Beverage Regulation Administration,2012-07-31 00:00:00+00:00,741.1672727272726
Alcoholic Beverage Regulation Administration,2012-08-31 00:00:00+00:00,696.9453333333333
Alcoholic Beverage Regulation Administration,2012-09-30 00:00:00+00:00,396.6625
Alcoholic Beverage Regulation Administration,2012-10-31 00:00:00+00:00,287.14894736842103
Alcoholic Beverage Regulation Administration,2012-11-30 00:00:00+00:00,385.0546153846154
Alcoholic Beverage Regulation Administration,2012-12-31 00:00:00+00:00,357.2733333333333
Alcoholic Beverage Regulation Administration,2013-01-31 00:00:00+00:00,712.8385714285714
Alcoholic Beverage Regulation Administration,2013-02-28 00:00:00+00:00,408.684
Alcoholic Beverage Regulation Administration,2013-03-31 00:00:00+00:00,490.79666666666657
Alcoholic Beverage Regulation Administration,2013-04-30 00:00:00+00:00,447.712
Alcoholic Beverage Regulation Administration,2013-05-31 00:00:00+00:00,364.743
Alcoholic Beverage Regulation Administration,2013-06-30 00:00:00+00:00,552.73
Alcoholic Beverage Regulation Administration,2013-07-31 00:00:00+00:00,519.0033333333332
Alcoholic Beverage Regulation Administration,2013-08-31 00:00:00+00:00,485.7885
Alcoholic Beverage Regulation Administration,2013-09-30 00:00:00+00:00,308.57214285714286
Alcoholic Beverage Regulation Administration,2013-10-31 00:00:00+00:00,568.242
Alcoholic Beverage Regulation Administration,2013-11-30 00:00:00+00:00,771.4175
Alcoholic Beverage Regulation Administration,2013-12-31 00:00:00+00:00,147.99714285714285
Alcoholic Beverage Regulation Administration,2014-01-31 00:00:00+00:00,200.6557142857143
Alcoholic Beverage Regulation Administration,2014-02-28 00:00:00+00:00,645.8778571428572
Alcoholic Beverage Regulation Administration,2014-03-31 00:00:00+00:00,362.3617391304348
Alcoholic Beverage Regulation Administration,2014-04-30 00:00:00+00:00,184.26333333333332
Alcoholic Beverage Regulation Administration,2014-05-31 00:00:00+00:00,305.65437499999996
Alcoholic Beverage Regulation Administration,2014-06-30 00:00:00+00:00,632.7476470588235
Alcoholic Beverage Regulation Administration,2014-07-31 00:00:00+00:00,356.98999999999995
Alcoholic Beverage Regulation Administration,2014-08-31 00:00:00+00:00,678.6742857142856
Alcoholic Beverage Regulation Administration,2014-09-30 00:00:00+00:00,459.6375
Alcoholic Beverage Regulation Administration,2014-10-31 00:00:00+00:00,598.84625
Alcoholic Beverage Regulation Administration,2014-11-30 00:00:00+00:00,376.72545454545457
Alcoholic Beverage Regulation Administration,2014-12-31 00:00:00+00:00,954.9700000000001
Alcoholic Beverage Regulation Administration,2015-01-31 00:00:00+00:00,229.77933333333334
Alcoholic Beverage Regulation Administration,2015-02-28 00:00:00+00:00,538.510625
Alcoholic Beverage Regulation Administration,2015-03-31 00:00:00+00:00,303.51888888888885
Alcoholic Beverage Regulation Administration,2015-04-30 00:00:00+00:00,620.3744444444444
Alcoholic Beverage Regulation Administration,2015-05-31 00:00:00+00:00,313.2322222222222
Alcoholic Beverage Regulation Administration,2015-06-30 00:00:00+00:00,632.0514285714286
Alcoholic Beverage Regulation Administration,2015-07-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2015-08-31 00:00:00+00:00,524.0394444444444
Alcoholic Beverage Regulation Administration,2015-09-30 00:00:00+00:00,602.165
Alcoholic Beverage Regulation Administration,2015-10-31 00:00:00+00:00,575.3571428571428
Alcoholic Beverage Regulation Administration,2015-11-30 00:00:00+00:00,385.55785714285713
Alcoholic Beverage Regulation Administration,2015-12-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2016-01-31 00:00:00+00:00,681.3146666666667
Alcoholic Beverage Regulation Administration,2016-02-29 00:00:00+00:00,444.63833333333326
Alcoholic Beverage Regulation Administration,2016-03-31 00:00:00+00:00,641.025625
Alcoholic Beverage Regulation Administration,2016-04-30 00:00:00+00:00,469.7991666666667
Alcoholic Beverage Regulation Administration,2016-05-31 00:00:00+00:00,514.0921428571429
Alcoholic Beverage Regulation Administration,2016-06-30 00:00:00+00:00,771.278
Alcoholic Beverage Regulation Administration,2016-07-31 00:00:00+00:00,713.536923076923
Alcoholic Beverage Regulation Administration,2016-08-31 00:00:00+00:00,802.2325000000001
Alcoholic Beverage Regulation Administration,2016-09-30 00:00:00+00:00,346.295
Alcoholic Beverage Regulation Administration,2016-10-31 00:00:00+00:00,393.06090909090904
Alcoholic Beverage Regulation Administration,2016-11-30 00:00:00+00:00,1209.484
Alcoholic Beverage Regulation Administration,2016-12-31 00:00:00+00:00,783.1107692307693
Alcoholic Beverage Regulation Administration,2017-01-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2017-02-28 00:00:00+00:00,328.61733333333336
Alcoholic Beverage Regulation Administration,2017-03-31 00:00:00+00:00,737.7084615384615
Alcoholic Beverage Regulation Administration,2017-04-30 00:00:00+00:00,490.3036363636365
Alcoholic Beverage Regulation Administration,2017-05-31 00:00:00+00:00,806.3807142857144
Alcoholic Beverage Regulation Administration,2017-06-30 00:00:00+00:00,522.27
Alcoholic Beverage Regulation Administration,2017-07-31 00:00:00+00:00,607.8566666666666
Alcoholic Beverage Regulation Administration,2017-08-31 00:00:00+00:00,506.7170000000001
Alcoholic Beverage Regulation Administration,2017-09-30 00:00:00+00:00,622.1693333333334
Alcoholic Beverage Regulation Administration,2017-10-31 00:00:00+00:00,1150.906923076923
Alcoholic Beverage Regulation Administration,2017-11-30 00:00:00+00:00,1237.8314285714284
Alcoholic Beverage Regulation Administration,2017-12-31 00:00:00+00:00,814.2479999999999
Alcoholic Beverage Regulation Administration,2018-01-31 00:00:00+00:00,708.18375
Alcoholic Beverage Regulation Administration,2018-02-28 00:00:00+00:00,1700.0
Alcoholic Beverage Regulation Administration,2018-03-31 00:00:00+00:00,369.9275
Alcoholic Beverage Regulation Administration,2018-04-30 00:00:00+00:00,880.8763636363637
Alcoholic Beverage Regulation Administration,2018-05-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2018-06-30 00:00:00+00:00,480.8890909090908
Alcoholic Beverage Regulation Administration,2018-07-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2018-08-31 00:00:00+00:00,729.0770370370369
Alcoholic Beverage Regulation Administration,2018-09-30 00:00:00+00:00,336.6475
Alcoholic Beverage Regulation Administration,2018-10-31 00:00:00+00:00,596.8057894736842
Alcoholic Beverage Regulation Administration,2018-11-30 00:00:00+00:00,938.3966666666665
Alcoholic Beverage Regulation Administration,2018-12-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2019-01-31 00:00:00+00:00,661.0046153846155
Alcoholic Beverage Regulation Administration,2019-02-28 00:00:00+00:00,987.8007142857142
Alcoholic Beverage Regulation Administration,2019-03-31 00:00:00+00:00,946.6029411764706
Alcoholic Beverage Regulation Administration,2019-04-30 00:00:00+00:00,966.23
Alcoholic Beverage Regulation Administration,2019-05-31 00:00:00+00:00,1171.8025
Alcoholic Beverage Regulation Administration,2019-06-30 00:00:00+00:00,857.4176470588234
Alcoholic Beverage Regulation Administration,2019-07-31 00:00:00+00:00,715.3194736842106
Alcoholic Beverage Regulation Administration,2019-08-31 00:00:00+00:00,518.133125
Alcoholic Beverage Regulation Administration,2019-09-30 00:00:00+00:00,955.7615789473684
Alcoholic Beverage Regulation Administration,2019-10-31 00:00:00+00:00,513.8635714285714
Alcoholic Beverage Regulation Administration,2019-11-30 00:00:00+00:00,978.0
Alcoholic Beverage Regulation Administration,2019-12-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2020-01-31 00:00:00+00:00,408.08625000000006
Alcoholic Beverage Regulation Administration,2020-02-29 00:00:00+00:00,1401.1571428571426
Alcoholic Beverage Regulation Administration,2020-03-31 00:00:00+00:00,559.6194444444444
Alcoholic Beverage Regulation Administration,2020-04-30 00:00:00+00:00,2326.67
Alcoholic Beverage Regulation Administration,2020-05-31 00:00:00+00:00,-890.5
Alcoholic Beverage Regulation Administration,2020-06-30 00:00:00+00:00,605.376
Alcoholic Beverage Regulation Administration,2020-07-31 00:00:00+00:00,0.0
