AGENCY,TRANSACTION_DATE,Diff
Alcoholic Beverage Regulation Administration,2016-03-31 00:00:00+00:00,62.58500000000002
Alcoholic Beverage Regulation Administration,2016-04-30 00:00:00+00:00,-66.55916666666667
Alcoholic Beverage Regulation Administration,2016-05-31 00:00:00+00:00,-9.286428571428582
Alcoholic Beverage Regulation Administration,2016-06-30 00:00:00+00:00,107.99933333333335
Alcoholic Beverage Regulation Administration,2016-07-31 00:00:00+00:00,-128.53846153846155
Alcoholic Beverage Regulation Administration,2016-08-31 00:00:00+00:00,3.657499999999923
Alcoholic Beverage Regulation Administration,2016-09-30 00:00:00+00:00,141.59500000000003
Alcoholic Beverage Regulation Administration,2016-10-31 00:00:00+00:00,-79.31454545454545
Alcoholic Beverage Regulation Administration,2016-11-30 00:00:00+00:00,168.11400000000003
Alcoholic Beverage Regulation Administration,2016-12-31 00:00:00+00:00,-43.27230769230767
Alcoholic Beverage Regulation Administration,2017-01-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2017-02-28 00:00:00+00:00,9.44933333333333
Alcoholic Beverage Regulation Administration,2017-03-31 00:00:00+00:00,-2.4807692307692637
Alcoholic Beverage Regulation Administration,2017-04-30 00:00:00+00:00,-39.173636363636355
Alcoholic Beverage Regulation Administration,2017-05-31 00:00:00+00:00,5.59714285714285
Alcoholic Beverage Regulation Administration,2017-06-30 00:00:00+00:00,76.25416666666668
Alcoholic Beverage Regulation Administration,2017-07-31 00:00:00+00:00,-90.89666666666666
Alcoholic Beverage Regulation Administration,2017-08-31 00:00:00+00:00,19.29199999999998
Alcoholic Beverage Regulation Administration,2017-09-30 00:00:00+00:00,-8.800666666666666
Alcoholic Beverage Regulation Administration,2017-10-31 00:00:00+00:00,-18.17307692307697
Alcoholic Beverage Regulation Administration,2017-11-30 00:00:00+00:00,219.7442857142858
Alcoholic Beverage Regulation Administration,2017-12-31 00:00:00+00:00,-140.90500000000003
Alcoholic Beverage Regulation Administration,2018-01-31 00:00:00+00:00,329.53125
Alcoholic Beverage Regulation Administration,2018-02-28 00:00:00+00:00,-1072.0
Alcoholic Beverage Regulation Administration,2018-03-31 00:00:00+00:00,-140.79166666666666
Alcoholic Beverage Regulation Administration,2018-04-30 00:00:00+00:00,9.651818181818209
Alcoholic Beverage Regulation Administration,2018-05-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2018-06-30 00:00:00+00:00,7.484545454545451
Alcoholic Beverage Regulation Administration,2018-07-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2018-08-31 00:00:00+00:00,76.60518518518519
Alcoholic Beverage Regulation Administration,2018-09-30 00:00:00+00:00,-186.9866666666667
Alcoholic Beverage Regulation Administration,2018-10-31 00:00:00+00:00,5.49947368421053
Alcoholic Beverage Regulation Administration,2018-11-30 00:00:00+00:00,-20.06166666666666
Alcoholic Beverage Regulation Administration,2018-12-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2019-01-31 00:00:00+00:00,-2.0384615384615383
Alcoholic Beverage Regulation Administration,2019-02-28 00:00:00+00:00,3.4771428571428666
Alcoholic Beverage Regulation Administration,2019-03-31 00:00:00+00:00,35.03352941176468
Alcoholic Beverage Regulation Administration,2019-04-30 00:00:00+00:00,124.40846153846155
Alcoholic Beverage Regulation Administration,2019-05-31 00:00:00+00:00,-272.3375
